Time	Value
2017-04-19 05:08:01 PDT	1.0
2017-04-19 05:08:12 PDT	1.0
2017-04-19 05:08:18 PDT	1.0
2017-04-19 05:08:23 PDT	1.0
2017-04-19 05:08:28 PDT	1.0
2017-04-19 05:08:32 PDT	1.0
2017-04-19 05:11:10 PDT	1.0
2017-04-19 05:11:16 PDT	1.0
